"Adaugare date: 2024-02-28T20:15:39.649955-----------------------------------------------"
"2024-01-20T12:49:30","CD","70","4","45"
"2024-01-20T12:52:43","NA","4","7","45"
"2024-01-20T14:03:03","VE","9","9","45"
"2024-01-20T14:12:13","ȘFA","12","3","45"
"2024-01-20T14:52:42","GR","1","7","45"
"2024-01-20T15:24:39","Ks","2","8","45"
"2024-01-20T16:20:04","BAE","11","7","45"
"2024-01-20T18:49:13","NA","4","6","45"
"2024-01-21T12:11:16","EV","9","6","60"
"2024-01-21T12:11:17","TD","98","7","60"
"2024-01-21T12:11:20","G","21","5","60"
"2024-01-21T12:11:21","G","10","3","60"
"2024-01-21T12:11:37","ȘM","14","4","60"
"2024-01-21T12:11:53","VAA","19","4","60"
"2024-01-21T12:11:55","CD","70","3","60"
"2024-01-21T12:14:09","Ks","2","5","60"
"2024-01-21T12:15:31","GR","1","5","60"
"2024-01-21T12:16:03","tc","28","5","60"
"2024-01-21T12:17:01","ȘFA","12","4","60"
"2024-01-21T12:17:53","CG","22","6","60"
"2024-01-21T12:42:32","Rp","97","6","60"
"2024-01-21T12:43:48","JM","6","5","60"
"2024-01-21T13:23:33","MB","18","7","60"
"2024-01-21T20:02:10","VB","5","5","60"
"2024-01-22T10:55:43","VAA","19","6","45"
"2024-01-22T11:04:09","G","10","7","45"
"2024-01-22T11:04:55","ȘFA","12","8","45"
"2024-01-22T11:07:35","GR","1","8","45"
"2024-01-22T11:08:20","EV","9","9","45"
"2024-01-22T11:12:09","TD","98","9","45"
"2024-01-22T11:14:58","PAR","7","6","45"
"2024-01-22T11:15:54","BA","11","7","45"
"2024-01-22T11:16:12","G","10","7","45"
"2024-01-22T11:20:17","G","21","9","45"
"2024-01-22T11:27:44","CD","70","5","45"
"2024-01-22T11:35:09","ȘM","14","6","45"
"2024-01-22T11:58:54","MBA","18","8","45"
"2024-01-22T13:40:27","CG","22","10","45"
"2024-01-22T13:43:20","NA","4","8","45"
"2024-01-22T16:04:42","tc","28","6","89"
"2024-01-23T11:52:42","TD","98","6","89"
"2024-01-23T11:53:21","VAA","19","4","89"
"2024-01-23T11:53:52","ȘFA","12","3","89"
"2024-01-23T12:02:06","PR","7","4","89"
"2024-01-23T12:02:07","rp","97","7","89"
"2024-01-23T12:02:26","NA","4","6","89"
"2024-01-23T12:02:41","ȘM","14","4","89"
"2024-01-23T12:03:18","VB","5","6","89"
"2024-01-23T12:03:34","G","10","3","95"
"2024-01-23T12:04:28","CG","22","7","95"
"2024-01-23T12:05:10","t","28","5","95"
"2024-01-23T12:12:55","CD","70","4","95"
"2024-01-23T12:13:03","Ks","2","4","95"
"2024-01-23T12:32:41","GR","1","6","95"
"2024-01-23T12:47:25","VE","9","6","95"
"2024-01-23T14:00:11","JM","6","5","95"
"2024-01-23T14:38:36","MB","18","7","95"
"2024-01-23T15:21:30","BA","11","7","95"
"2024-01-23T17:42:39","EV","9","4","95"
"2024-01-23T18:30:40","rp","97","6","95"
"2024-01-23T20:14:19","MB","18","7","95"
"2024-01-23T20:18:18","Ks","2","4","95"
"2024-01-23T20:22:49","VAA","19","3","95"
"2024-01-23T21:44:13","JM","6","5","95"
"2024-01-24T11:42:03","Pr","7","4","85"
"2024-01-24T11:42:31","CD","70","4","85"
"2024-01-24T11:42:40","G","10","3","85"
"2024-01-24T11:43:35","MB","18","7","85"
"2024-01-24T11:47:58","TD","98","5","85"
"2024-01-24T11:48:17","CG","22","5","85"
"2024-01-24T11:48:50","GR","1","4","85"
"2024-01-24T11:51:06","EV","9","5","85"
"2024-01-24T11:51:56","ȘFA","12","3","85"
"2024-01-24T12:12:19","ȘM","14","3","85"
"2024-01-24T13:09:06","Ks","2","4","85"
"2024-01-24T17:30:51","GR","1","4","85"
"2024-01-24T19:34:47","VB","5","4","85"
"2024-01-25T12:10:18","CD","70","5","45"
"2024-01-25T12:10:19","PR","7","4","45"
"2024-01-25T12:10:48","EV","9","5","45"
"2024-01-25T12:13:36","TD","98","6","45"
"2024-01-25T12:16:43","GR","1","3","45"
"2024-01-25T12:25:56","Ks","2","5","45"
"2024-01-25T12:26:54","BA","11","5","45"
"2024-01-25T12:28:04","CG","22","6","45"
"2024-01-25T12:53:51","ȘFA","12","3","45"
"2024-01-25T12:54:42","VB","5","5","45"
"2024-01-25T17:32:51","NA","4","6","45"
"2024-01-25T21:20:21","MB","18","7","45"
"2024-01-25T21:20:32","rp","97","6","45"
"2024-01-25T21:22:09","JM","6","5","45"
"2024-01-26T11:19:37","ȘM","14","3","70"
"2024-01-26T11:19:53","CD","70","3","70"
"2024-01-26T11:20:00","TD","98","4","70"
"2024-01-26T11:20:04","PR","7","3","70"
"2024-01-26T11:21:28","MB","18","7","70"
"2024-01-26T11:21:46","Na","4","7","70"
"2024-01-26T11:21:53","VAA","19","3","70"
"2024-01-26T11:21:59","BA","11","6","70"
"2024-01-26T11:22:14","EV","9","5","70"
"2024-01-26T11:22:14","rp","97","6","70"
"2024-01-26T11:22:22","GR","1","5","70"
"2024-01-26T11:22:47","Ks","2","5","70"
"2024-01-26T11:26:24","CG","22","5","70"
"2024-01-26T11:27:49","Jm","6","5","70"
"2024-01-26T11:40:39","VA","80","5","70"
